,0_n,0_p,1_n,1_p,2_n,2_p,3_n,3_p,4_n,4_p,5_n,5_p
0,Cd300a_ENSMUSG00000034652,0.026194840606441793,Lyz2_ENSMUSG00000069516,0.009763203153771651,Gm16385_ENSMUSG00000116811,0.3987302550840265,Tmc8_ENSMUSG00000050106,0.6966920449169329,Hmg20b_ENSMUSG00000020232,0.6453865921078956,Actb_ENSMUSG00000029580,0.18859805455922163
1,Cd52_ENSMUSG00000000682,0.032067741128388075,Ctsb_ENSMUSG00000021939,0.010872738345659968,Gm8355_ENSMUSG00000093798,0.4657171482140362,Surf6_ENSMUSG00000036160,0.6966920449169329,Actg-ps1_ENSMUSG00000074978,0.6453865921078956,Lars2_ENSMUSG00000035202,0.4883708485316104
2,Ifitm3_ENSMUSG00000025492,0.03498974278569896,Arpc5_ENSMUSG00000008475,0.010989632552496726,Gm12715_ENSMUSG00000059195,0.6993578415623217,Gm24270_ENSMUSG00000076281,0.6966920449169329,Ctse_ENSMUSG00000004552,0.6453865921078956,Arhgap21_ENSMUSG00000036591,0.6146896930436885
3,H2-Eb1_ENSMUSG00000060586,0.038433700198075925,Serf2_ENSMUSG00000074884,0.015057188437191884,Gpx1_ENSMUSG00000063856,0.7099790552538202,Gm11361_ENSMUSG00000113061,0.7042927739077655,Cep85_ENSMUSG00000037443,0.6534629023800083,Cflar_ENSMUSG00000026031,0.6146896930436885
4,Rhoa_ENSMUSG00000007815,0.040261088431711806,Nrros_ENSMUSG00000052384,0.03003695579635456,Gm11361_ENSMUSG00000113061,0.7385740664680853,Actg-ps1_ENSMUSG00000074978,0.7119231506921901,Sat1_ENSMUSG00000025283,0.7790188046288791,Irf7_ENSMUSG00000025498,0.6441280160472187
5,Itgb2_ENSMUSG00000000290,0.0486879217168729,Idnk_ENSMUSG00000050002,0.033916973641968294,Lmbrd1_ENSMUSG00000073725,0.7385740664680853,Cd74_ENSMUSG00000024610,0.7157492416324881,Npc2_ENSMUSG00000021242,0.8486771241015058,H2-D1_ENSMUSG00000073411,0.7989884852715177
6,Ifi27l2a_ENSMUSG00000079017,0.05091737712405287,Junb_ENSMUSG00000052837,0.0351938986770849,Actg-ps1_ENSMUSG00000074978,0.7457815082852847,Lars2_ENSMUSG00000035202,0.7349852214121391,Gm12715_ENSMUSG00000059195,0.9239944982921982,Ifngr2_ENSMUSG00000022965,0.8311704095417624
7,Ms4a6c_ENSMUSG00000079419,0.05129714121887708,Mpc1_ENSMUSG00000023861,0.03999110485747986,Rps18-ps3_ENSMUSG00000057657,0.7821415653791286,Gm23935_ENSMUSG00000076258,0.7427272001107901,Eef1a1_ENSMUSG00000037742,0.9552465413062958,MT-Co3_ENSMUSG00000064358,0.9622120130191111
8,Laptm4a_ENSMUSG00000020585,0.052450686867552644,Actr2_ENSMUSG00000020152,0.044533983536940186,Tnfaip8l2_ENSMUSG00000013707,0.7821415653791286,Rps18-ps3_ENSMUSG00000057657,0.7427272001107901,H3f3b_ENSMUSG00000016559,0.9597178715153031,Anxa6_ENSMUSG00000018340,0.9245087366013007
9,Laptm5_ENSMUSG00000028581,0.054822899242231986,Ndufa7_ENSMUSG00000041881,0.044533983536940186,Actg1_ENSMUSG00000062825,0.8041941288700922,Gm15564_ENSMUSG00000086324,0.7504952897820372,H2-K1_ENSMUSG00000061232,0.9641904692844642,Chd8_ENSMUSG00000053754,0.9245087366013007
10,Rps9_ENSMUSG00000006333,0.055633253157098266,Emp3_ENSMUSG00000040212,0.044533983536940186,Gm14303_ENSMUSG00000081344,0.8712244465063985,Gm8355_ENSMUSG00000093798,0.79761063661415,Malat1_ENSMUSG00000092341,0.9955223283958478,Tent5a_ENSMUSG00000032265,0.9245087366013007
11,Arhgdib_ENSMUSG00000030220,0.05728391463500537,Gm12481_ENSMUSG00000043770,0.046141926887710745,Hspa8_ENSMUSG00000015656,0.8862645991433296,Rps18_ENSMUSG00000008668,0.8535135775742164,MT-Co3_ENSMUSG00000064358,0.9597178715153031,Crlf2_ENSMUSG00000033467,0.9245087366013007
12,Rpl26_ENSMUSG00000060938,0.06338508845787418,CT010467.1_ENSMUSG00000106106,0.048220346050573994,Rps18_ENSMUSG00000008668,0.924032915172976,Rab14_ENSMUSG00000026878,0.8939172860701662,Actg1_ENSMUSG00000062825,0.9552465413062958,Hnrnph1_ENSMUSG00000007850,0.9245087366013007
13,Hck_ENSMUSG00000003283,0.06476002672389221,Cap1_ENSMUSG00000028656,0.04907345844980708,MT-Co3_ENSMUSG00000064358,0.9505781990937706,Gm12715_ENSMUSG00000059195,0.9795412423197176,Cd74_ENSMUSG00000024610,0.9239944982921982,Lias_ENSMUSG00000029199,0.9245087366013007
14,Akr1a1_ENSMUSG00000028692,0.07150553326704927,Chst12_ENSMUSG00000036599,0.05261360433392497,Hnrnph1_ENSMUSG00000007850,0.9013458325965327,MT-Co3_ENSMUSG00000064358,0.9550096675641511,Tent5a_ENSMUSG00000032265,0.9195383508138885,Ubl3_ENSMUSG00000001687,0.9245087366013007
15,Pfdn5_ENSMUSG00000001289,0.07827468016528122,Bsg_ENSMUSG00000023175,0.05261360433392497,Crlf2_ENSMUSG00000033467,0.9013458325965327,Cxcr4_ENSMUSG00000045382,0.9101622680178696,Aldh9a1_ENSMUSG00000026687,0.9195383508138885,Aldh9a1_ENSMUSG00000026687,0.9245087366013007
16,AI467606_ENSMUSG00000045165,0.08045945807529015,Arpc2_ENSMUSG00000006304,0.05307077474546746,Chd8_ENSMUSG00000053754,0.9013458325965327,Aldh9a1_ENSMUSG00000026687,0.9101622680178696,Chd8_ENSMUSG00000053754,0.9195383508138885,Cxcr4_ENSMUSG00000045382,0.9245087366013007
17,Rps5_ENSMUSG00000012848,0.08613859974753059,Cyba_ENSMUSG00000006519,0.05540669220274249,Lias_ENSMUSG00000029199,0.9013458325965327,Hnrnph1_ENSMUSG00000007850,0.9101622680178696,Lias_ENSMUSG00000029199,0.9195383508138885,Gpat4_ENSMUSG00000031545,0.9245087366013007
18,MT-Rnr2_ENSMUSG00000064339,0.08969871715834318,Ifngr1_ENSMUSG00000020009,0.05540669220274249,Ubl3_ENSMUSG00000001687,0.9013458325965327,Anxa6_ENSMUSG00000018340,0.9101622680178696,Anxa6_ENSMUSG00000018340,0.9195383508138885,Shisa5_ENSMUSG00000025647,0.9057151967079446
19,Lyz2_ENSMUSG00000069516,0.09589463591216137,Tln1_ENSMUSG00000028465,0.05684893009788121,Aldh9a1_ENSMUSG00000026687,0.9013458325965327,Ubl3_ENSMUSG00000001687,0.9101622680178696,Gpat4_ENSMUSG00000031545,0.9195383508138885,Dtx3l_ENSMUSG00000049502,0.8869743120400594
20,Nadk_ENSMUSG00000029063,0.09911861160880393,Sema4d_ENSMUSG00000021451,0.0598271903992908,Cxcr4_ENSMUSG00000045382,0.9013458325965327,Tent5a_ENSMUSG00000032265,0.9101622680178696,Crlf2_ENSMUSG00000033467,0.9195383508138885,Acss1_ENSMUSG00000027452,0.8869743120400594
21,Rpl19_ENSMUSG00000017404,0.09977367161225416,Ctss_ENSMUSG00000038642,0.061364178701434784,Tent5a_ENSMUSG00000032265,0.9013458325965327,Lias_ENSMUSG00000029199,0.9101622680178696,Cxcr4_ENSMUSG00000045382,0.9195383508138885,Dpp4_ENSMUSG00000035000,0.8869743120400594
22,Unc93b1_ENSMUSG00000036908,0.10043217992216555,Ctsz_ENSMUSG00000016256,0.06188371808113098,Gpat4_ENSMUSG00000031545,0.9013458325965327,Crlf2_ENSMUSG00000033467,0.9101622680178696,Hnrnph1_ENSMUSG00000007850,0.9195383508138885,Neat1_ENSMUSG00000092274,0.8869743120400594
23,Rps14_ENSMUSG00000024608,0.10043217992216555,Atp6v1g1_ENSMUSG00000039105,0.0629337200936771,Anxa6_ENSMUSG00000018340,0.9013458325965327,Gpat4_ENSMUSG00000031545,0.9101622680178696,Ubl3_ENSMUSG00000001687,0.9195383508138885,Drap1_ENSMUSG00000024914,0.8869743120400594
24,Psap_ENSMUSG00000004207,0.10043217992216555,Arhgap1_ENSMUSG00000027247,0.0629337200936771,Mrpl17_ENSMUSG00000030879,0.8524901593868359,Chd8_ENSMUSG00000053754,0.9101622680178696,Tyrobp_ENSMUSG00000030579,0.8972982661443751,Necap2_ENSMUSG00000028923,0.8869743120400594
25,Prcp_ENSMUSG00000061119,0.10109414795523466,Selenop_ENSMUSG00000064373,0.0629337200936771,Mrpl21_ENSMUSG00000024829,0.8524901593868359,Anxa2_ENSMUSG00000032231,0.9020346492544503,Larp7_ENSMUSG00000027968,0.8795632622484187,Drg1_ENSMUSG00000020457,0.8869743120400594
26,Tpt1_ENSMUSG00000060126,0.10860739178876884,Ywhaz_ENSMUSG00000022285,0.06617241736737363,Mrpl10_ENSMUSG00000001445,0.8524901593868359,H2-D1_ENSMUSG00000073411,0.8898627129621842,Mrps24_ENSMUSG00000020477,0.8795632622484187,Nedd9_ENSMUSG00000021365,0.8869743120400594
27,Rps13_ENSMUSG00000090862,0.12107984851870938,Gsap_ENSMUSG00000039934,0.06840691423465377,Mphosph10_ENSMUSG00000030521,0.8524901593868359,Pik3r5_ENSMUSG00000020901,0.8655993734133421,Mrps28_ENSMUSG00000040269,0.8795632622484187,Acp2_ENSMUSG00000002103,0.8869743120400594
28,Rpl27a_ENSMUSG00000046364,0.12107984851870938,Arhgap45_ENSMUSG00000035697,0.0701231852269962,Mrpl37_ENSMUSG00000028622,0.8524901593868359,Gm10031_ENSMUSG00000101523,0.8655993734133421,Ms4a4c_ENSMUSG00000024675,0.8795632622484187,Ndufb3_ENSMUSG00000026032,0.8869743120400594
29,Gngt2_ENSMUSG00000038811,0.12184705409261001,Hp_ENSMUSG00000031722,0.07246635301600014,Mrpl42_ENSMUSG00000062981,0.8524901593868359,Fcgr1_ENSMUSG00000015947,0.8655993734133421,Akna_ENSMUSG00000039158,0.8795632622484187,Gm9616_ENSMUSG00000114003,0.8869743120400594
30,Ly6e_ENSMUSG00000022587,0.12261805508795699,Ccl6_ENSMUSG00000018927,0.07246635301600014,1110059E24Rik_ENSMUSG00000035171,0.8524901593868359,Gm10076_ENSMUSG00000060143,0.8655993734133421,Mtdh_ENSMUSG00000022255,0.8795632622484187,Actg-ps1_ENSMUSG00000074978,0.8869743120400594
31,Tmsb10_ENSMUSG00000079523,0.12261805508795699,H2-Ab1_ENSMUSG00000073421,0.07306205447897775,Mrpl51_ENSMUSG00000030335,0.8524901593868359,Fcf1_ENSMUSG00000021243,0.8655993734133421,Mtfr1l_ENSMUSG00000046671,0.8795632622484187,Dnajc7_ENSMUSG00000014195,0.8869743120400594
32,Fau_ENSMUSG00000038274,0.1241714868891905,Coro1b_ENSMUSG00000024835,0.07797324106229171,Mrpl55_ENSMUSG00000036860,0.8524901593868359,Fbxw5_ENSMUSG00000015095,0.8655993734133421,Mxd1_ENSMUSG00000001156,0.8795632622484187,Dxo_ENSMUSG00000040482,0.8869743120400594
33,Cst3_ENSMUSG00000027447,0.1241714868891905,Snap23_ENSMUSG00000027287,0.0805278072176262,Mrps24_ENSMUSG00000020477,0.8524901593868359,Glrx3_ENSMUSG00000031068,0.8655993734133421,Mthfd2_ENSMUSG00000005667,0.8795632622484187,Neurl3_ENSMUSG00000047180,0.8869743120400594
34,Cd300c2_ENSMUSG00000044811,0.12732437319498374,Son_ENSMUSG00000022961,0.08448670633417804,Nat8l_ENSMUSG00000048142,0.8524901593868359,Pik3r1_ENSMUSG00000041417,0.8655993734133421,Mtus1_ENSMUSG00000045636,0.8795632622484187,Ech1_ENSMUSG00000053898,0.8869743120400594
35,Rps11_ENSMUSG00000003429,0.13217004997807577,Gngt2_ENSMUSG00000038811,0.08721240259920403,Lyz1_ENSMUSG00000069515,0.8524901593868359,Fcgrt_ENSMUSG00000003420,0.8655993734133421,Lamtor3_ENSMUSG00000091512,0.8795632622484187,Eci2_ENSMUSG00000021417,0.8869743120400594
36,Fxyd5_ENSMUSG00000009687,0.13547905968854904,Aif1_ENSMUSG00000024397,0.09143355753962377,Mob3b_ENSMUSG00000073910,0.8524901593868359,Prr5l_ENSMUSG00000032841,0.8655993734133421,Mybbp1a_ENSMUSG00000040463,0.8795632622484187,Dnpep_ENSMUSG00000026209,0.8869743120400594
37,Cd48_ENSMUSG00000015355,0.13800253900647477,Klf13_ENSMUSG00000052040,0.09143355753962377,Lin7c_ENSMUSG00000027162,0.8524901593868359,Pigs_ENSMUSG00000041958,0.8655993734133421,Mycbp2_ENSMUSG00000033004,0.8795632622484187,Dnajc10_ENSMUSG00000027006,0.8869743120400594
38,Mdh2_ENSMUSG00000019179,0.14667622556716808,H3f3b_ENSMUSG00000016559,0.09433779528922469,Klhl6_ENSMUSG00000043008,0.8524901593868359,Phb_ENSMUSG00000038845,0.8655993734133421,Myl12b_ENSMUSG00000034868,0.8795632622484187,Ncoa4_ENSMUSG00000056234,0.8869743120400594
39,Stk10_ENSMUSG00000020272,0.14667622556716808,Lgals9_ENSMUSG00000001123,0.09433779528922469,Lair1_ENSMUSG00000055541,0.8524901593868359,Pfkfb4_ENSMUSG00000025648,0.8655993734133421,Mrpl51_ENSMUSG00000030335,0.8795632622484187,Ndufa2_ENSMUSG00000014294,0.8869743120400594
40,Otub1_ENSMUSG00000024767,0.14667622556716808,Psmb8_ENSMUSG00000024338,0.09433779528922469,Ldha_ENSMUSG00000063229,0.8524901593868359,Pgls_ENSMUSG00000031807,0.8655993734133421,Mrpl55_ENSMUSG00000036860,0.8795632622484187,Ncl_ENSMUSG00000026234,0.8869743120400594
41,Coro1a_ENSMUSG00000030707,0.1529917393876183,Irf5_ENSMUSG00000029771,0.09731551956511707,Micu1_ENSMUSG00000020111,0.8524901593868359,Phyh_ENSMUSG00000026664,0.8655993734133421,Ldha_ENSMUSG00000063229,0.8795632622484187,Dnajb14_ENSMUSG00000074212,0.8869743120400594
42,Rps15a_ENSMUSG00000008683,0.1529917393876183,Cdc42_ENSMUSG00000006699,0.09883230753734992,Leprotl1_ENSMUSG00000031513,0.8524901593868359,Prkch_ENSMUSG00000021108,0.8655993734133421,Mrpl42_ENSMUSG00000062981,0.8795632622484187,Aco1_ENSMUSG00000028405,0.8869743120400594
43,Rps27a_ENSMUSG00000020460,0.1529917393876183,Csf1r_ENSMUSG00000024621,0.10036790871587334,Macf1_ENSMUSG00000028649,0.8524901593868359,Emc2_ENSMUSG00000022337,0.8655993734133421,Mrpl37_ENSMUSG00000028622,0.8795632622484187,Dlgap4_ENSMUSG00000061689,0.8869743120400594
44,Gm9843_ENSMUSG00000050299,0.15669232528594199,Sept9_ENSMUSG00000059248,0.10036790871587334,Lgmn_ENSMUSG00000021190,0.8524901593868359,Prkaa1_ENSMUSG00000050697,0.8655993734133421,Mrpl17_ENSMUSG00000030879,0.8795632622484187,Ndufs8_ENSMUSG00000059734,0.8869743120400594
45,Rps7_ENSMUSG00000061477,0.15856788494201668,Stk4_ENSMUSG00000018209,0.10589278090847636,Limd1_ENSMUSG00000025239,0.8524901593868359,Apbb1ip_ENSMUSG00000026786,0.8655993734133421,Mast3_ENSMUSG00000031833,0.8795632622484187,Rps15a-ps4_ENSMUSG00000083757,0.8869743120400594
46,Prdx5_ENSMUSG00000024953,0.1682013726133219,Shisa5_ENSMUSG00000025647,0.11334751555724658,Lpcat4_ENSMUSG00000027134,0.8524901593868359,Galnt10_ENSMUSG00000020520,0.8655993734133421,Magohb_ENSMUSG00000030188,0.8795632622484187,Sarnp_ENSMUSG00000078427,0.8869743120400594
47,Vim_ENSMUSG00000026728,0.17117541794790836,Dbnl_ENSMUSG00000020476,0.1142007289111534,Nob1_ENSMUSG00000003848,0.8524901593868359,Gcc2_ENSMUSG00000038039,0.8655993734133421,Aldh3b1_ENSMUSG00000024885,0.8795632622484187,Rps17_ENSMUSG00000061787,0.8869743120400594
48,Ptprc_ENSMUSG00000026395,0.1731798788075316,Nr4a1_ENSMUSG00000023034,0.1150589898910004,Lpl_ENSMUSG00000015568,0.8524901593868359,Pigx_ENSMUSG00000023791,0.8655993734133421,Map1lc3b_ENSMUSG00000031812,0.8795632622484187,Ndufs5_ENSMUSG00000028648,0.8869743120400594
49,Anxa2_ENSMUSG00000032231,0.1731798788075316,Ikbkb_ENSMUSG00000031537,0.12031555139289925,Lrch1_ENSMUSG00000068015,0.8524901593868359,Pin4_ENSMUSG00000079480,0.8655993734133421,Leprotl1_ENSMUSG00000031513,0.8795632622484187,Rpl36-ps12_ENSMUSG00000091845,0.8869743120400594
